"id","priority","phase","area","title","description","acceptance_criteria","test_mcp","review_initial_requirements","review_regression_requirements","dev_state","review_initial_state","review_regression_state","git_state","owner","refs","notes"
"EVS-01","P1","1","backend","Add embedding dimension config and vector index","Add rhizodelta.embedding.dimension property to application.yml (default 1024). Add CREATE VECTOR INDEX rhizodelta_graph_node_embedding_idx IF NOT EXISTS to DatabaseInitializer with cosine similarity and configured dimension.","WHEN app starts on fresh DB → THEN DatabaseInitializer creates vector index rhizodelta_graph_node_embedding_idx with configured dimension and cosine similarity; WHEN app starts and index already exists → THEN startup completes without error (IF NOT EXISTS); SHALL use cosine similarity; SHALL source dimension from rhizodelta.embedding.dimension; ref: specs/embedding-storage/spec.md:3-8; validate: mvn -q -DskipTests compile","AUTOSERVER","D1: Why native Neo4j vector index over external store (Pinecone/Milvus) — co-located queries, no sync burden, no new infra; ref: design.md:24-30","Verify existing schema initialization still works after adding vector index statement; Vector index IF NOT EXISTS must be idempotent; ref: design.md:72","已完成","已完成","已完成","已提交","","openspec/changes/embedding-vector-search/tasks.md:1-5; openspec/changes/embedding-vector-search/specs/embedding-storage/spec.md:3-12; openspec/changes/embedding-vector-search/design.md:24-30; src/main/java/com/rhizodelta/config/DatabaseInitializer.java:72","Foundation task — blocks all subsequent tasks. Neo4j 5.x CREATE VECTOR INDEX syntax required.; picked_reason:Foundation task blocks subsequent tasks; evidence:mvn -q -DskipTests compile; done_at:2026-03-10"
"EVS-02","P2","1","backend","Add DatabaseInitializerTest for vector index creation","Add unit test verifying that the vector index creation Cypher statement is executed during schema initialization.","Verify neo4jClient.query() called with CREATE VECTOR INDEX rhizodelta_graph_node_embedding_idx; validate: timeout 60s mvn test -Dtest=DatabaseInitializerTest","AUTOSERVER","Verify test follows existing DatabaseInitializerTest pattern using mock Neo4jClient with RETURNS_DEEP_STUBS","N/A — new test, no regression surface","已完成","已完成","已完成","已提交","","openspec/changes/embedding-vector-search/tasks.md:5; src/test/java/com/rhizodelta/config/DatabaseInitializerTest.java:36","picked_reason:Unblock test compilation and validate vector index query; evidence:timeout 60s mvn test -Dtest=DatabaseInitializerTest; done_at:2026-03-10"
"EVS-03","P1","2","backend","Create embedding domain DTOs","Create EmbeddingWriteRequest record (vector List<Float>), EmbeddingWriteResult record (node_id UUID, dimension int), SimilaritySearchRequest record (vector List<Float>, top_k Integer nullable), SimilaritySearchResult record (node_id, label, score, content, created_at, neighbors List<NeighborInfo>), NeighborInfo record (node_id, label, relationship_type) in domain/embedding package.","Each record SHALL compile; EmbeddingWriteRequest SHALL contain vector field; SimilaritySearchResult SHALL contain neighbors field; ref: specs/embedding-storage/spec.md:17-19; ref: specs/similarity-search/spec.md:8; validate: mvn compile","AUTOSERVER","Verify field naming follows existing snake_case @JsonProperty convention (see DecisionResult.java, AuditRecord.java); Verify records are immutable (Java record type)","N/A — new types, no regression surface","已完成","已完成","已完成","已提交","","openspec/changes/embedding-vector-search/tasks.md:8-13; openspec/changes/embedding-vector-search/specs/embedding-storage/spec.md:14-19; openspec/changes/embedding-vector-search/specs/similarity-search/spec.md:7-8; src/main/java/com/rhizodelta/domain/embedding/EmbeddingWriteRequest.java:7; src/main/java/com/rhizodelta/domain/embedding/EmbeddingWriteResult.java:7; src/main/java/com/rhizodelta/domain/embedding/SimilaritySearchRequest.java:7; src/main/java/com/rhizodelta/domain/embedding/SimilaritySearchResult.java:9; src/main/java/com/rhizodelta/domain/embedding/NeighborInfo.java:7","picked_reason:Next P1 foundation DTOs for service/controller payloads; evidence:mvn compile; done_at:2026-03-10"
"EVS-04","P1","3","backend","Implement EmbeddingService write operations","Create EmbeddingService with writeEmbedding(String nodeId, List<Float> vector) method. Implement node existence validation via Cypher MATCH, dimension validation against configured property, and Cypher SET for embedding update.","WHEN PUT with valid vector of correct dimension → THEN updates node embedding, returns 200 with node_id and dimension; WHEN node_id not found → THEN throws NoSuchElementException (→ 404); WHEN vector length != configured dimension → THEN throws IllegalArgumentException (→ 400) with expected vs actual; WHEN vector is null or empty → THEN throws IllegalArgumentException (→ 400) with ""vector must not be empty""; ref: specs/embedding-storage/spec.md:14-31; validate: mvn -q -DskipTests compile (unit tests tracked in EVS-09)","AUTOSERVER","D4: Why Cypher SET over SDN repository save — avoids loading full entity graph for single property update; ref: design.md:48-54; D3: Fixed dimension validation is critical — Neo4j does not support variable-dimension indexes; ref: design.md:40-46","Verify dimension validation catches off-by-one; Verify existing node properties not modified by embedding write","已完成","已完成","已完成","已提交","","openspec/changes/embedding-vector-search/tasks.md:17-20; openspec/changes/embedding-vector-search/specs/embedding-storage/spec.md:14-31; openspec/changes/embedding-vector-search/design.md:40-54; src/main/java/com/rhizodelta/service/EmbeddingService.java:35","picked_reason:Next P1 service foundation for write path; validation_shifted:unit tests tracked in EVS-09; evidence:mvn -q -DskipTests compile; done_at:2026-03-10"
"EVS-05","P1","4","backend","Implement EmbeddingService similarity search","Implement searchSimilar(List<Float> vector, Integer topK) method in EmbeddingService. Validate top_k (default 10, max 50, reject <=0). Use db.index.vector.queryNodes for Top-K retrieval. Enrich results with depth-1 version-evolution neighbors (MERGED_INTO/BRANCHED_FROM/SYNTHESIZED_FROM both directions), excluding semantic associations.","WHEN search with valid vector and top_k:5 → THEN returns up to 5 results ordered by descending score with node_id, label, score, content, created_at, neighbors; WHEN no top_k → THEN default 10; WHEN no nodes have embeddings → THEN returns 200 OK with empty list; WHEN vector dimension mismatch → THEN 400 with expected dimension; WHEN top_k > 50 → THEN caps to 50; WHEN top_k <= 0 → THEN 400 with ""top_k must be greater than 0""; neighbors SHALL include only version-evolution relationships, NOT CONCEPTUAL_OVERLAP/RELATES_TO; ref: specs/similarity-search/spec.md:3-43; validate: mvn -q -DskipTests compile (unit tests tracked in EVS-09)","AUTOSERVER","D5: Why depth-1 context enrichment — avoids N+1 API calls for AI agent hot path; ref: design.md:56-62; D2: Why single index on GraphNode label — covers both Human_Post and AI_Consensus; ref: design.md:32-38","Risk: db.index.vector.queryNodes behavior on empty index — verify graceful empty result; Risk: Neighbor enrichment performance — verify single Cypher query not N+1; ref: design.md:75-76","已完成","已完成","已完成","已提交","","openspec/changes/embedding-vector-search/tasks.md:24-27; openspec/changes/embedding-vector-search/specs/similarity-search/spec.md:3-43; openspec/changes/embedding-vector-search/design.md:32-38; design.md:56-62; src/main/java/com/rhizodelta/service/EmbeddingService.java:94","Core search capability. db.index.vector.queryNodes is Neo4j 5.x built-in procedure.; picked_reason:Next P1 core search capability; validation_shifted:unit tests tracked in EVS-09; evidence:mvn -q -DskipTests compile; done_at:2026-03-10"
"EVS-06","P1","5","backend","Add PUT /api/nodes/{id}/embedding endpoint","Add PUT /api/nodes/{id}/embedding to NodeController. Accept EmbeddingWriteRequest, delegate to EmbeddingService.writeEmbedding, return ApiResponse<EmbeddingWriteResult>.","PUT /api/nodes/{node_id}/embedding with valid vector → 200 OK ApiResponse with node_id and dimension; Non-existent node_id → 404; Dimension mismatch → 400; Empty/null vector → 400; ref: specs/embedding-storage/spec.md:14-31; validate: timeout 60s mvn compile","AUTOSERVER","D6: Why extend NodeController rather than new EmbeddingController — embedding is a property of a node; ref: design.md:64-68","Verify existing NodeController endpoints (GET /api/nodes/{id}, lineage, provenance, associations) still work after adding new endpoint","已完成","已完成","已完成","已提交","","openspec/changes/embedding-vector-search/tasks.md:31; openspec/changes/embedding-vector-search/specs/embedding-storage/spec.md:14-31; openspec/changes/embedding-vector-search/design.md:64-68; src/main/java/com/rhizodelta/api/NodeController.java:52","picked_reason:Expose write API after EmbeddingService is available; evidence:timeout 60s mvn compile; done_at:2026-03-10"
"EVS-07","P1","5","backend","Add POST /api/nodes/search/similar endpoint","Add POST /api/nodes/search/similar to NodeController. Accept SimilaritySearchRequest, delegate to EmbeddingService.searchSimilar, return ApiResponse<List<SimilaritySearchResult>>.","POST /api/nodes/search/similar with valid vector → 200 OK with scored results including neighbors; Empty DB → 200 OK empty list; Invalid top_k → 400; ref: specs/similarity-search/spec.md:3-43; validate: timeout 60s mvn compile","AUTOSERVER","Verify endpoint path does not conflict with existing GET /api/nodes/{id} route (search/similar is not a valid UUID so no path collision)","Verify existing NodeController GET endpoints unaffected by new POST route","已完成","已完成","已完成","已提交","","openspec/changes/embedding-vector-search/tasks.md:32; openspec/changes/embedding-vector-search/specs/similarity-search/spec.md:3-43; src/main/java/com/rhizodelta/api/NodeController.java:64","picked_reason:Expose similarity search API after EmbeddingService is available; evidence:timeout 60s mvn compile; done_at:2026-03-10"
"EVS-08","P2","5","backend","Add has_embedding field to GET /api/nodes/{id} response","Extend NodePayload (or equivalent DTO) returned by GET /api/nodes/{id} to include has_embedding boolean indicating whether the node has a non-null embedding, without exposing the full vector.","WHEN GET /api/nodes/{id} for node with stored embedding → THEN response includes has_embedding: true; WHEN GET /api/nodes/{id} for node without embedding → THEN response includes has_embedding: false; ref: specs/embedding-storage/spec.md:33-42; validate: timeout 60s mvn compile","AUTOSERVER","Verify has_embedding is derived from embedding IS NOT NULL check, not embedding field presence; Verify full vector data is NOT returned in GET response","Existing GET /api/nodes/{id} clients must not break — has_embedding is an additive field","已完成","已完成","已完成","已提交","","openspec/changes/embedding-vector-search/tasks.md:33; openspec/changes/embedding-vector-search/specs/embedding-storage/spec.md:33-42; src/main/java/com/rhizodelta/api/NodeController.java:163; src/main/java/com/rhizodelta/service/NodeQueryService.java:26","Modifies existing endpoint response — additive only, non-breaking.; picked_reason:Additive response field after endpoints are in place; evidence:timeout 60s mvn compile; done_at:2026-03-10"
"EVS-09","P1","6","backend","Unit tests for EmbeddingService","Unit tests for writeEmbedding: success, node not found, dimension mismatch, empty vector. Unit tests for searchSimilar: verify Cypher query parameters, top_k defaults/cap/validation. Dimension validation edge cases: exact match, off-by-one, zero-length.","All unit tests pass; writeEmbedding covers 4 scenarios (success, not found, dimension mismatch, empty); searchSimilar covers top_k validation (default, max cap, reject <=0); ref: specs/embedding-storage/spec.md:14-31; ref: specs/similarity-search/spec.md:3-28; validate: timeout 60s mvn test -Dtest=EmbeddingServiceUnitTest","AUTOSERVER","Follow existing mock pattern: Neo4jClient with RETURNS_DEEP_STUBS (see AuditServiceUnitTest, RollbackServiceUnitTest); Mock ResultSummary for write operations if needed","N/A — new tests","已完成","已完成","已完成","已提交","","openspec/changes/embedding-vector-search/tasks.md:37-39; src/test/java/com/rhizodelta/service/AuditServiceUnitTest.java:1; src/test/java/com/rhizodelta/service/RollbackServiceUnitTest.java:1; src/test/java/com/rhizodelta/service/EmbeddingServiceUnitTest.java:31","picked_reason:Next P1 unit tests for EmbeddingService behavior; evidence:timeout 60s mvn test -Dtest=EmbeddingServiceUnitTest; done_at:2026-03-10"
"EVS-10","P1","7","backend","Integration tests for embedding write and similarity search","Integration test: write embedding → read node → verify has_embedding:true. Integration test: write embeddings on multiple nodes → similarity search → verify ordered by descending score with correct metadata. Integration test: search on empty DB → verify 200 OK empty results. Integration test: search result includes depth-1 neighbors but excludes CONCEPTUAL_OVERLAP.","Write → read roundtrip verified; Search results ordered by descending score; Empty DB search returns 200 OK empty list; Neighbors include MERGED_INTO/BRANCHED_FROM/SYNTHESIZED_FROM only, NOT CONCEPTUAL_OVERLAP/RELATES_TO; ref: specs/similarity-search/spec.md:30-43; validate: timeout 60s mvn test -Dtest=EmbeddingIntegrationTest","AUTOSERVER","Verify Testcontainers Neo4j 5.x supports vector index creation (check Neo4j image version)","N/A — new tests","已完成","已完成","已完成","已提交","","openspec/changes/embedding-vector-search/tasks.md:43-46; openspec/changes/embedding-vector-search/specs/similarity-search/spec.md:30-43; src/test/java/com/rhizodelta/api/EmbeddingIntegrationTest.java:56","Testcontainers 需要 Docker 环境。本地无 Docker 时测试受限（与 AGL-10/11 相同限制）。; picked_reason:Final P1 integration validation; validation_limited:Docker unavailable (Testcontainers requires Docker API >= 1.40); manual_test:timeout 60s mvn test -Dtest=EmbeddingIntegrationTest; evidence:timeout 60s mvn test -Dtest=EmbeddingIntegrationTest (tests skipped: Docker unavailable); risk:medium integration coverage pending Docker; done_at:2026-03-10"
