"id","priority","phase","area","title","description","acceptance_criteria","test_mcp","review_initial_requirements","review_regression_requirements","dev_state","review_initial_state","review_regression_state","git_state","owner","refs","notes"
"AGL-01","P1","1","backend","Create DTOs and data model records","Create DecisionType enum (MERGE, BRANCH), AuditRecord record (decision_id, decision_type, node_id, source_node_id, operator_type, operator_id, reason, created_at), AuditDetail record (extends AuditRecord + synthesized_from List<UUID>), AuditListResponse record (records + next_cursor), and RollbackResult record (decision_id, rolled_back_node_id, relationships_removed).","Each record SHALL represent one decision identified by decision_id; AuditRecord SHALL include decision_type/node_id/source_node_id/operator_type/operator_id/reason/created_at; AuditDetail SHALL include synthesized_from; RollbackResult SHALL include relationships_removed count; ref: specs/audit-trail-query/spec.md:3-4; ref: specs/decision-rollback/spec.md:3; validate: mvn compile","AUTOSERVER","Verify field naming follows existing snake_case @JsonProperty convention (see DecisionResult.java, AssociationResult.java); Verify DecisionType enum does not conflict with existing DecisionOperatorType","N/A - new types, no regression surface","已完成","已完成","已完成","已提交","","openspec/changes/audit-governance-layer/tasks.md:1-7; openspec/changes/audit-governance-layer/specs/audit-trail-query/spec.md:3-4; openspec/changes/audit-governance-layer/specs/decision-rollback/spec.md:3; src/main/java/com/rhizodelta/service/DecisionType.java:1; src/main/java/com/rhizodelta/service/AuditRecord.java:1; src/main/java/com/rhizodelta/service/AuditDetail.java:1; src/main/java/com/rhizodelta/service/AuditListResponse.java:1; src/main/java/com/rhizodelta/service/RollbackResult.java:1","Blocks all subsequent phases. D4: flat record per decision, not per relationship.; picked_reason:phase1基础数据模型先行，解锁后续所有服务与接口任务; done_at:2026-03-09; acceptance:新增DecisionType+4个record并覆盖必填字段校验; evidence:mvn -q -DskipTests compile"
"AGL-02","P1","2","backend","Add decision_id relationship property indexes","Add relationship property indexes on decision_id for MERGED_INTO and BRANCHED_FROM in DatabaseInitializer. These support efficient audit lookups and rollback node resolution.","WHEN the application starts THEN relationship property indexes for decision_id on MERGED_INTO and BRANCHED_FROM are created if not already present; ref: specs/audit-trail-query/spec.md:49-54; validate: mvn test -Dtest=DatabaseInitializer*","AUTOSERVER","Use IF NOT EXISTS pattern consistent with existing indexes in DatabaseInitializer.java; ref: design.md D6 rationale","Verify existing association_id indexes (from M1 fix) are not affected; Verify startup still succeeds if indexes already exist","未开始","未开始","未开始","未提交","","openspec/changes/audit-governance-layer/tasks.md:9-12; openspec/changes/audit-governance-layer/design.md:63-67; openspec/changes/audit-governance-layer/specs/audit-trail-query/spec.md:49-54","D6: Without index, every audit query scans all relationships of that type."
"AGL-03","P1","3","backend","Implement AuditService.listDecisions with cursor pagination","Create AuditService with listDecisions(type, operatorId, since, until, after, limit) method. Cypher query against MERGED_INTO/BRANCHED_FROM relationship properties. Implement cursor encoding/decoding (created_at + decision_id composite). Implement parameter validation: limit capped at 100, default 20.","WHEN GET /api/audit/decisions THEN returns HTTP 200 with records ordered by created_at desc, default page size 20; WHEN type=MERGE THEN returns only MERGE records; WHEN operator_id=agent-42 THEN returns only matching operator records; WHEN since/until provided THEN filters by time range (inclusive start, exclusive end); WHEN after={cursor}&limit=10 THEN returns next 10 records after cursor with next_cursor if more exist; WHEN limit=500 THEN caps to 100; WHEN type=INVALID THEN returns HTTP 400; ref: specs/audit-trail-query/spec.md:3-32; validate: mvn test -Dtest=AuditServiceUnitTest","AUTOSERVER","D1: query from relationship properties not separate table — verify no new write-path changes to DE; D4: one record per decision_id not per relationship; D5: keyset pagination not offset; Alternative rejected: relational sidecar audit table","Risk: performance at scale → mitigated by D6 indexes; Risk: cursor stability under concurrent writes → keyset pagination is stable","未开始","未开始","未开始","未提交","","openspec/changes/audit-governance-layer/tasks.md:14-19; openspec/changes/audit-governance-layer/design.md:23-61; openspec/changes/audit-governance-layer/specs/audit-trail-query/spec.md:3-32","Depends on AGL-01 (DTOs) and AGL-02 (indexes). D5: cursor = base64(created_at + decision_id)."
"AGL-04","P1","3","backend","Implement AuditService.getDecisionDetail","Implement getDecisionDetail(decisionId) method in AuditService. Cypher query returns full decision info including node details, relationship audit metadata, and synthesized_from node IDs for merge decisions. Returns AuditDetail record.","WHEN GET /api/audit/decisions/{decision_id} for merge THEN returns decision_type=MERGE, node_id, source_node_id, operator fields, synthesized_from array of Human_Post node IDs; WHEN branch THEN returns decision_type=BRANCH, synthesized_from as empty array; WHEN non-existent decision_id THEN returns HTTP 404 ""decision not found: {decision_id}""; ref: specs/audit-trail-query/spec.md:34-47; validate: mvn test -Dtest=AuditServiceUnitTest","AUTOSERVER","Verify query correctly distinguishes AI_Consensus (merge) from Human_Post-with-decision_id (branch); Verify synthesized_from collection is complete for multi-contributor merges","N/A - new read path, no regression surface","未开始","未开始","未开始","未提交","","openspec/changes/audit-governance-layer/tasks.md:18; openspec/changes/audit-governance-layer/specs/audit-trail-query/spec.md:34-47","Depends on AGL-01. D4: aggregated view per decision."
"AGL-05","P1","4","backend","Implement RollbackService with dependent check","Create RollbackService with rollbackDecision(decisionId) method. Includes: (1) decision node lookup by decision_id (AI_Consensus or Human_Post), (2) pre-rollback dependent check — query incoming BRANCHED_FROM/MERGED_INTO from other nodes, reject 409 if any, (3) DETACH DELETE in single transaction, (4) return RollbackResult with removed relationship count.","WHEN rollback merge with no dependents THEN removes AI_Consensus + MERGED_INTO + SYNTHESIZED_FROM, returns 200 with counts; WHEN rollback branch with no dependents THEN removes Human_Post + BRANCHED_FROM, returns 200; WHEN node has downstream dependents THEN returns 409 ""cannot rollback: node has downstream dependents"" with dependent node IDs; WHEN non-existent decision_id THEN returns 404; WHEN already rolled back THEN returns 404; WHEN node has semantic associations THEN those are also removed; SHALL execute in single Neo4j transaction; ref: specs/decision-rollback/spec.md:1-53; validate: mvn test -Dtest=RollbackServiceUnitTest","AUTOSERVER","D2: physical delete not soft-delete — verify no tombstone logic; D3: leaf-first rollback, no cascade — verify dependent list is returned in 409; Alternative rejected: cascade rollback (too destructive); Alternative rejected: soft-delete with rolled_back flag (complicates DAG traversal)","Risk: downstream orphaning → mitigated by D3 pre-validation; Risk: concurrent rollback + decision creation → mitigated by Neo4j ACID transactions; Risk: no audit trail of rollback itself → accepted trade-off for P1; Verify rollback does not corrupt existing lineage/provenance queries","未开始","未开始","未开始","未提交","","openspec/changes/audit-governance-layer/tasks.md:22-27; openspec/changes/audit-governance-layer/design.md:31-45; openspec/changes/audit-governance-layer/specs/decision-rollback/spec.md:1-53","Depends on AGL-01. DESTRUCTIVE WRITE — highest review scrutiny. D3 is the safety gate."
"AGL-06","P2","5","backend","Create AuditController with list and detail endpoints","Create AuditController with: (1) GET /api/audit/decisions accepting query params type, operator_id, since, until, after, limit, (2) GET /api/audit/decisions/{decision_id}. Both delegate to AuditService and wrap in ApiResponse.","GET /api/audit/decisions returns ApiResponse<AuditListResponse>; GET /api/audit/decisions/{decision_id} returns ApiResponse<AuditDetail>; invalid type param returns 400; ref: specs/audit-trail-query/spec.md:3-47; validate: mvn compile","AUTOSERVER","Follow existing controller patterns (see NodeController.java, AssociationController.java); Use @RequestParam for filters; Use @PathVariable for decision_id","N/A - new endpoints","未开始","未开始","未开始","未提交","","openspec/changes/audit-governance-layer/tasks.md:29-32; openspec/changes/audit-governance-layer/specs/audit-trail-query/spec.md:3-47","Depends on AGL-03, AGL-04."
"AGL-07","P2","5","backend","Add rollback endpoint and RollbackBlockedException","Add POST /api/decisions/{decision_id}/rollback to DecisionController. Create RollbackBlockedException with dependent node IDs. Add handler in GlobalExceptionHandler mapping RollbackBlockedException to 409 with dependent_node_ids in response body.","POST /api/decisions/{decision_id}/rollback returns ApiResponse<RollbackResult>; RollbackBlockedException → 409 with dependent node IDs; 404 for not-found; 500 for transaction failure; ref: specs/decision-rollback/spec.md:1-53; validate: mvn compile","AUTOSERVER","Follow existing exception handler pattern (see DagIntegrityViolationException → 409 in GlobalExceptionHandler.java); Verify 409 response body includes dependent_node_ids array for actionable error messages","Verify existing DecisionController merge/branch endpoints unaffected; Verify GlobalExceptionHandler priority ordering (IllegalStateException → 500 must not catch RollbackBlockedException)","未开始","未开始","未开始","未提交","","openspec/changes/audit-governance-layer/tasks.md:33-34; openspec/changes/audit-governance-layer/specs/decision-rollback/spec.md:14-16","Depends on AGL-05. Follow M4 fix pattern for exception mapping."
"AGL-08","P2","6","backend","Unit tests for AuditService","Unit tests for: (1) listDecisions — verify Cypher parameter binding for each filter combination (type, operator_id, since/until, cursor), (2) getDecisionDetail — merge detail with synthesized_from, branch detail without, not-found case, (3) cursor encoding/decoding round-trip.","All filter combinations produce correct Cypher parameters; Cursor encode→decode round-trip preserves created_at and decision_id; Not-found throws NoSuchElementException; Limit defaults to 20, caps at 100; ref: specs/audit-trail-query/spec.md:6-54; validate: mvn test -Dtest=AuditServiceUnitTest","AUTOSERVER","Follow existing mock pattern (see AssociationServiceUnitTest.java — mock Neo4jClient chain); Verify each scenario from spec has a corresponding test method","N/A - new tests","未开始","未开始","未开始","未提交","","openspec/changes/audit-governance-layer/tasks.md:38-41; openspec/changes/audit-governance-layer/specs/audit-trail-query/spec.md:6-54","Depends on AGL-03, AGL-04."
"AGL-09","P2","6","backend","Unit tests for RollbackService","Unit tests for: (1) successful rollback of merge — verifies DETACH DELETE called, correct result returned, (2) successful rollback of branch, (3) dependent-check rejection — verifies 409 with node IDs, (4) not-found case — verifies NoSuchElementException.","Successful merge rollback removes node + returns relationship count; Branch rollback removes node + returns count; Dependent check returns blocking node IDs in exception; Non-existent decision_id throws NoSuchElementException; ref: specs/decision-rollback/spec.md:6-24; validate: mvn test -Dtest=RollbackServiceUnitTest","AUTOSERVER","Follow mock pattern from DecisionServiceBranchUnitTest.java / DecisionServiceMergeUnitTest.java; Test the pre-rollback dependent check as a separate mock scenario","Risk: test must verify transaction boundary is correct — mock @Transactional behavior","未开始","未开始","未开始","未提交","","openspec/changes/audit-governance-layer/tasks.md:42; openspec/changes/audit-governance-layer/specs/decision-rollback/spec.md:6-53","Depends on AGL-05."
"AGL-10","P2","7","backend","Integration tests for audit query endpoints","Integration tests (Testcontainers + Neo4j): (1) create merge decision → query audit list → verify record with correct fields, (2) create branch decision → get audit detail → verify all fields including source_node_id and empty synthesized_from.","Merge decision appears in GET /api/audit/decisions with correct decision_type/operator fields; Branch detail returns complete AuditDetail with source_node_id; Cursor pagination returns correct next page; ref: specs/audit-trail-query/spec.md:6-47; validate: mvn test -Dtest=AuditQueryIntegrationTest","AUTOSERVER","Follow existing integration test pattern (see AssociationCreateApiIntegrationTest.java — @SpringBootTest + Testcontainers); Test filter combinations: type=MERGE, operator_id, time range","Verify audit list does not interfere with existing lineage/provenance queries","未开始","未开始","未开始","未提交","","openspec/changes/audit-governance-layer/tasks.md:45-46; openspec/changes/audit-governance-layer/specs/audit-trail-query/spec.md:6-47","Requires Docker/Testcontainers for Neo4j. May be skipped in CI if Docker unavailable."
"AGL-11","P2","7","backend","Integration tests for rollback endpoint","Integration tests (Testcontainers + Neo4j): (1) create merge → rollback → verify node/rels removed → verify absent from audit list, (2) create A → create B from A → rollback A → verify 409 with B's node_id, (3) rollback node with semantic associations → verify associations also removed.","Rollback removes node and relationships from graph; Rolled-back decision absent from audit list; Dependent check returns 409 with blocking node_ids; Semantic associations cleaned up on rollback; ref: specs/decision-rollback/spec.md:6-53; validate: mvn test -Dtest=RollbackIntegrationTest","AUTOSERVER","Verify graph state after rollback via direct Cypher assertions (MATCH node RETURN count); Test leaf-first ordering: rollback B first then A should succeed","Risk: rollback is destructive — verify no side effects on unrelated nodes; Verify concurrent rollback scenario does not corrupt graph","未开始","未开始","未开始","未提交","","openspec/changes/audit-governance-layer/tasks.md:47-49; openspec/changes/audit-governance-layer/specs/decision-rollback/spec.md:6-53","Requires Docker/Testcontainers. D3 dependent check is the critical safety test."
