"id","priority","phase","area","title","description","acceptance_criteria","test_mcp","review_initial_requirements","review_regression_requirements","dev_state","review_initial_state","review_regression_state","git_state","owner","refs","notes"
"UAE-01","P0","1","backend","Add AUTHORED schema contracts and backfill query definitions","Extend the graph schema for Phase 2 by adding the `AUTHORED.created_at` relationship index and centralizing the idempotent backfill/audit Cypher used to reconcile legacy `Human_Post.author_id` rows. Keep this row scoped to schema/bootstrap contracts and the tests that prove the new index becomes visible on clean boot.","WHEN the application boots with the Phase 2 schema change → THEN Neo4j creates `rhizodelta_authored_created_at_idx`; WHEN historical backfill is executed against posts whose `author_id` matches an existing `UserAccount` → THEN each post gains exactly one `AUTHORED` edge and reruns do not duplicate edges; WHEN consistency audit runs on posts missing the canonical edge → THEN it returns `post.node_id` plus `author_id` instead of fabricating placeholder users; ref: Phase 2 schema/index/backfill contract","AUTOSERVER","Follow design D1 and D3 exactly: `AUTHORED` is the canonical semantic while `author_id` remains a projection, and historical backfill must stay outside startup flow; keep backfill/audit Cypher centralized rather than scattering raw strings across unrelated services; schema/index initialization must stay idempotent with the existing `DatabaseInitializer` pattern.","Regression review must confirm old `author_id`-only readers still work after adding the new index and query definitions; no startup-time full historical migration may be introduced; rollback must remain possible by dropping only `rhizodelta_authored_created_at_idx` and deleting `AUTHORED` edges without touching `author_id`.","已完成","已完成","已完成","已提交","","openspec/changes/user-authored-edge/tasks.md:1; openspec/changes/user-authored-edge/design.md:67; openspec/changes/user-authored-edge/specs/user-authored-edge/spec.md:24; docs/user-domain-modeling-plan.md:242; src/main/java/com/rhizodelta/infrastructure/persistence/config/DatabaseInitializer.java:54; src/test/java/com/rhizodelta/infrastructure/persistence/config/DatabaseInitializerTest.java:85; src/test/java/com/rhizodelta/infrastructure/persistence/config/DatabaseInitializerAuthoredSchemaIntegrationTest.java:37","generated_from:openspec/changes/user-authored-edge; source:docs/user-domain-modeling-plan.md; picked_reason:UAE-01 先落地 AUTHORED 索引与回填/对账查询契约，可直接解锁后续双轨写入与验证任务; evidence:DatabaseInitializer 新增 rhizodelta_authored_created_at_idx DDL，并集中定义 AUTHORED 回填/对账查询常量供 Phase 2 后续实现复用; manual_test:timeout 300s mvn test -Dtest=DatabaseInitializerTest,DatabaseInitializerAuthoredSchemaIntegrationTest; evidence:DatabaseInitializerTest 11/11 通过，新增断言覆盖 AUTHORED 关系索引 DDL 与回填/对账查询语义; evidence:DatabaseInitializerAuthoredSchemaIntegrationTest 1/1 通过，真实 clean boot 后 SHOW INDEXES 可见 rhizodelta_authored_created_at_idx; risk:low 当前剩余风险主要是 Phase 2 真正执行历史回填时还需要在 UAE-05 落地任务入口；本行仅集中定义查询契约，不会自动执行历史迁移; done_at:2026-04-22"
"UAE-02","P0","2","backend","Persist AUTHORED during Human_Post creation","Update the human post write path so `PostService` writes `author_id` and `AUTHORED` in the same transaction for every newly created human-authored post. This row covers canonical write semantics, duplicate-delivery safety, and the explicit failure path when the author account cannot be resolved.","WHEN an authenticated user creates a new `Human_Post` → THEN the persisted post keeps `author_id = JWT.sub` and exactly one `(:UserAccount)-[:AUTHORED {created_at=post.created_at}]->(:Human_Post)` edge is written in the same transaction; WHEN the same logical post is retried or replayed → THEN no duplicate `AUTHORED` edge is created; WHEN the write path cannot resolve the author account → THEN the operation fails explicitly and does not create a placeholder user node; ref: canonical author write path and duplicate-delivery scenarios","AUTOSERVER","Follow design D2: keep `author_id` and `AUTHORED` in one transaction inside `PostService.upsertByRequestId`, and source `AUTHORED.created_at` from the post creation timestamp rather than a separate clock read; do not move this to an async compensating step and do not introduce silent fallback behavior.","Regression review must prove existing `author_id` projection remains populated for old clients and downstream services; duplicate-delivery behavior must stay idempotent; rollback must allow old code to continue working from `author_id` alone even if Phase 2 code is removed.","已完成","已完成","已完成","已提交","","openspec/changes/user-authored-edge/tasks.md:7; openspec/changes/user-authored-edge/design.md:51; openspec/changes/user-authored-edge/specs/user-authored-edge/spec.md:3; docs/user-domain-modeling-plan.md:253; src/main/java/com/rhizodelta/core/service/PostService.java:42; src/test/java/com/rhizodelta/api/AsyncPostPipelineIntegrationTest.java:74; src/test/java/com/rhizodelta/core/service/PostServiceAuthoringContractTest.java:21","generated_from:openspec/changes/user-authored-edge; source:docs/user-domain-modeling-plan.md; picked_reason:UAE-02 先落地 Human_Post 双轨写入，把 author_id 与 AUTHORED 绑定在同一事务内，直接解锁后续读模型与回填验证; evidence:PostService 在 createHumanPost 事务内新增 author 存在性校验，并在帖子创建后同步写入 AUTHORED 边且沿用 createdAt 作为边时间; manual_test:timeout 300s mvn test -Dtest=PostServiceAuthoringContractTest,AsyncPostPipelineIntegrationTest; evidence:PostServiceAuthoringContractTest 1/1 通过，缺失 author 账户时显式抛出 author_id not found 且不会进入帖子 upsert; evidence:AsyncPostPipelineIntegrationTest 3/3 通过，验证 AUTHORED 成功写入、JWT subject 覆盖 forged author_id、重复投递后 AUTHORED 边仍为 1 条; risk:low 当前剩余风险主要是异步测试里 embedding/routing 分支仍会因假 API key 输出 Invalid token 日志，但不影响 UAE-02 要求的帖子持久化与 AUTHORED 语义; done_at:2026-04-22"
"UAE-03","P1","3","backend","Expose authenticated public author profile lookup","Add `GET /api/users/{user_id}/profile` so authenticated callers can resolve another user's author identifier into a public profile projection. Scope the row to the public-read API, fallback behavior for missing profiles, `UNAVAILABLE` masking for suspended/deleted accounts, and authorization enforcement.","WHEN an authenticated caller requests `GET /api/users/{user_id}/profile` for an active account → THEN the response returns only `user_id`, `username`, `display_name`, and `avatar_url`; WHEN the account exists but has no `HAS_PROFILE` edge → THEN the response still succeeds with `display_name = username` and `avatar_url = null`; WHEN the target account status is `SUSPENDED` or `DELETED` → THEN the response returns `{ user_id, status: \UNAVAILABLE\"" }`; WHEN no valid JWT is provided → THEN the endpoint returns HTTP 401; ref: public author profile scenarios""","AUTOSERVER","Follow design D4: reuse `UserAccount + UserProfile` and expose only public fields, never credentials or self-only settings; keep Phase 1 self-profile endpoints untouched and add a separate public-read contract instead of overloading `/api/users/me/profile`; honor the current decision that suspended and deleted accounts are both masked as `UNAVAILABLE`.","Regression review must verify `/api/auth/*` and `/api/users/me/profile` behavior remains unchanged; missing `UserProfile` must continue to fall back to username instead of returning 500; security review must confirm `SecurityConfig` still requires authentication for the new endpoint and no extra account details leak for unavailable users.","已完成","已完成","已完成","已提交","","openspec/changes/user-authored-edge/tasks.md:14; openspec/changes/user-authored-edge/design.md:78; openspec/changes/user-authored-edge/specs/user-profile-schema/spec.md:3; docs/user-domain-modeling-plan.md:288; src/main/java/com/rhizodelta/infrastructure/user/api/UserProfileController.java:50; src/main/java/com/rhizodelta/infrastructure/security/config/SecurityConfig.java:51; src/test/java/com/rhizodelta/api/UserProfileApiIntegrationTest.java:160","generated_from:openspec/changes/user-authored-edge; source:docs/user-domain-modeling-plan.md; picked_reason:UAE-03 先落地公开 author profile 查询，可直接支撑 Phase 2 作者展示解析且改动面集中在用户画像 API; evidence:UserProfileController 新增 GET /api/users/{userId}/profile，active 用户返回公开字段，缺失 profile 时 display_name 回退 username，SUSPENDED/DELETED 统一返回 UNAVAILABLE; manual_test:timeout 300s mvn test -Dtest=UserProfileApiIntegrationTest; evidence:UserProfileApiIntegrationTest 10/10 通过，新增覆盖公开 profile 成功、fallback、UNAVAILABLE、无 JWT 401 四个场景，并保留 /me/profile 既有回归; risk:low 当前剩余风险主要是 NodeQueryService 和前端仍未消费这个公开 profile 接口，这部分属于 UAE-04；本行已把公开资料读口稳定下来; done_at:2026-04-22"
"UAE-04","P1","4","backend","Add author display projections to node query payloads","Extend NodeQueryService and NodeQueryController so node payloads can include optional `author_username` and `author_display_name` while preserving `author_id`. Scope this row to backend read-model enrichment and API payload shape only.","WHEN a node query returns a human-authored node whose author has `UserAccount` and `UserProfile` → THEN the payload includes `author_id`, `author_username`, and `author_display_name`; WHEN the profile lacks `display_name` → THEN `author_display_name` falls back to `username`; WHEN callers ignore the new fields → THEN payloads remain backward compatible because `author_id` is still present; ref: backend author projection scenarios","AUTOSERVER","Follow design D5: keep current read paths centered on `author_id` and add optional display projections without rewriting all topology queries around AUTHORED traversal; prefer a centralized enrichment path over copy-pasting OPTIONAL MATCH logic into every large Cypher block; NodeQueryController remains the single payload boundary.","Regression review must confirm all existing `/api/nodes/*` consumers still receive `author_id`; payloads for AI/System nodes must remain valid when no author projections exist; do not remove or rename existing JSON fields while adding `author_username` / `author_display_name`.","已完成","已完成","已完成","已提交","","openspec/changes/user-authored-edge/tasks.md:21; openspec/changes/user-authored-edge/design.md:89; openspec/changes/user-authored-edge/specs/user-authored-edge/spec.md:45; docs/user-domain-modeling-plan.md:283; src/main/java/com/rhizodelta/query/service/NodeQueryService.java:230; src/main/java/com/rhizodelta/query/api/NodeQueryController.java:181; src/test/java/com/rhizodelta/api/NodeQueryAuthorProjectionIntegrationTest.java:51","generated_from:openspec/changes/user-authored-edge; source:docs/user-domain-modeling-plan.md; picked_reason:UAE-04 先落地作者展示投影，可直接消费 UAE-02/03 的后端语义并解锁前端可读作者名; split_reason:原 UAE-04 涉及后端投影与 5 个前端渲染点，超过 3 文件限制，现拆为后端 + 3 个前端子任务; evidence:NodeQueryService 通过批量作者投影 enrich 为 node summary、roots、lineage/children、provenance 注入 author_username 和 author_display_name，同时保留 author_id; manual_test:timeout 300s mvn test -Dtest=NodeQueryAuthorProjectionIntegrationTest,PostApiIntegrationTest; manual_test_regression:timeout 300s mvn test -Dtest=PostApiIntegrationTest -Dlangchain4j.open-ai.chat-model.api-key=test-chat-key -Dlangchain4j.open-ai.embedding-model.api-key=test-embedding-key; evidence:NodeQueryAuthorProjectionIntegrationTest 3/3 通过，覆盖 summary、roots、provenance 的作者展示投影与 username fallback; evidence:PostApiIntegrationTest 7/7 在显式注入测试 key 后通过，确认既有 /api/nodes/* 读接口未被 author projection 改坏; risk:low 当前剩余风险主要在前端消费尚未完成，这部分已拆分到 UAE-04B/04C/04D；后端 payload 已保持 author_id 兼容; done_at:2026-04-23"
"UAE-04B","P1","4","frontend","Wire author display fields into card DTO and rhizome list cards","Extend `GraphNodeDTO` with optional `author_username` / `author_display_name` and update the two list-style card components that currently render raw `author_id`. Keep store-level `author_id` semantics intact.","WHEN backend payloads include `author_display_name` → THEN `RhizomeCard` and `RhizoneList` prefer it over `author_username` and `author_id`; WHEN only `author_username` exists → THEN both views render that value; WHEN neither new field exists → THEN existing `author_id` fallbacks continue to work; ref: frontend list author display scenarios","AUTOSERVER","Keep this row scoped to `frontend/src/api/types.ts`, `RhizomeCard.tsx`, and `RhizoneList.tsx`; do not introduce a shared AuthorLabel component yet because that would expand the write set; preserve `homeStore` and any `author_id`-based filtering semantics.","Regression review must confirm `GraphNodeDTO.author_id` stays present and existing list sorting/filtering logic remains unchanged; components must still show a sensible fallback when backend has not yet supplied the new fields; no other sidebar or home card behavior should change.","已完成","已完成","已完成","已提交","","openspec/changes/user-authored-edge/design.md:89; docs/user-domain-modeling-plan.md:357; frontend/src/api/types.ts:32; frontend/src/components/home/RhizomeCard.tsx:57; frontend/src/components/sidebar/RhizoneList.tsx:57; frontend/src/stores/homeStore.ts:42","generated_from:openspec/changes/user-authored-edge; split_from:UAE-04; split_reason:列表卡片与 DTO 扩展独立闭环，控制在 3 文件以内; picked_reason:UAE-04B 先让 GraphNodeDTO 和两个列表组件消费作者展示投影，能最快消除首页与侧栏的裸 author_id; evidence:GraphNodeDTO 新增可选字段 author_username 与 author_display_name，store 与 mapping 层无需额外改动即可透传新字段; validation_limited:frontend build 被仓库已有问题阻断（NodeActionToolbar.test.tsx / ReplyUiFeedback.test.tsx 的 summary_content:null 类型不兼容，以及 VersionEdge.tsx 未使用导入），与本行改动无直接关系; manual_test:npm --prefix frontend run build; manual_test:npm exec eslint src/api/types.ts src/components/home/RhizomeCard.tsx src/components/sidebar/RhizoneList.tsx (workdir=frontend); evidence:本次改动的 3 个文件 ESLint 通过，RhizomeCard 与 RhizoneList 已按 author_display_name -> author_username -> author_id 优先级显示作者名; risk:medium 在仓库现有前端 build 失败未清理前，无法声称全量前端编译通过；但本行未触及 homeStore 的 author_id 过滤逻辑，兼容风险较低; done_at:2026-04-23"
"UAE-04C","P1","4","frontend","Update detail and provenance panels to prefer human-readable author names","Replace raw `author_id` rendering in `NodeDetailPanel` and `ProvenancePanel` with the new display projection fields while preserving special fallbacks for AI/system nodes in the detail header.","WHEN `NodeDetailPanel` receives a node with `author_display_name` or `author_username` → THEN the header prefers those values before falling back to `author_id`; WHEN no human author fields exist → THEN `NodeDetailPanel` still falls back to `agent_version` or `System`; WHEN `ProvenancePanel` receives projected author fields → THEN it renders the human-readable author instead of raw `author_id`; ref: panel author display scenarios","AUTOSERVER","Keep this row scoped to `NodeDetailPanel.tsx` and `ProvenancePanel.tsx`; preserve the current `agent_version` / `System` fallback ordering in `NodeDetailPanel`; do not fold in graph node rendering or list cards.","Regression review must confirm AI/System nodes still render correctly in the detail panel when no human author data exists; provenance entries must remain clickable and keep their existing date formatting and loading/empty states.","已完成","已完成","已完成","已提交","","openspec/changes/user-authored-edge/design.md:89; docs/user-domain-modeling-plan.md:390; frontend/src/components/panels/NodeDetailPanel.tsx:66; frontend/src/components/panels/ProvenancePanel.tsx:45; frontend/src/components/panels/AuthorDisplayPanels.test.tsx:61","generated_from:openspec/changes/user-authored-edge; split_from:UAE-04; split_reason:详情/来源面板共用一套作者显示优先级，但与图节点和列表组件解耦; picked_reason:UAE-04C 先让详情面板和溯源面板消费作者展示投影，同时保住 NodeDetailPanel 的 agent_version/System fallback; evidence:NodeDetailPanel 头部已按 author_display_name -> author_username -> author_id -> agent_version -> System 的顺序显示作者信息；ProvenancePanel 已优先显示人类可读作者名; manual_test:npm --prefix frontend exec vitest run src/components/panels/AuthorDisplayPanels.test.tsx; evidence:AuthorDisplayPanels.test.tsx 3/3 通过，覆盖 NodeDetailPanel 显示 display name、回退 agent version，以及 ProvenancePanel 优先显示人类可读作者名; risk:low 当前剩余风险主要是图节点 HumanPostNode 仍未消费作者展示投影，这部分已拆分到 UAE-04D；本行没有改动详情面板的其他 tab 或交互行为; done_at:2026-04-23"
"UAE-04D","P1","4","frontend","Update HumanPost graph node author label rendering","Switch the normal-zoom `HumanPostNode` header from raw `author_id` to the new author display projection fields, keeping its existing date and quality badge behavior unchanged.","WHEN `HumanPostNode` receives `author_display_name` → THEN it shows that value in the node header; WHEN only `author_username` exists → THEN it shows that value; WHEN neither exists → THEN it falls back to `author_id` or `Anonymous` exactly as before; ref: graph node author display scenario","AUTOSERVER","Keep this row scoped to `HumanPostNode.tsx`; do not mix in detail panel or list rendering changes; preserve the current quality badge and created_at display.","Regression review must confirm zoom behavior, optimistic markers, toolbar behavior, and fallback rendering remain unchanged except for the displayed author label text.","已完成","已完成","已完成","已提交","","openspec/changes/user-authored-edge/design.md:89; docs/user-domain-modeling-plan.md:376; frontend/src/components/graph/HumanPostNode.tsx:25; frontend/src/components/graph/HumanPostNodeAuthorDisplay.test.tsx:37","generated_from:openspec/changes/user-authored-edge; split_from:UAE-04; split_reason:图节点作者标签单独闭环，避免和其他 4 个展示点一起超出文件数限制; picked_reason:UAE-04D 最后补齐 HumanPostNode 的作者展示投影，这样 UAE-04 的所有前端展示点才算闭环; evidence:HumanPostNode normal zoom 头部已按 author_display_name -> author_username -> author_id -> Anonymous 的顺序显示作者信息，且未改变日期与质量徽标逻辑; manual_test:npm --prefix frontend exec vitest run src/components/graph/HumanPostNodeAuthorDisplay.test.tsx; evidence:HumanPostNodeAuthorDisplay.test.tsx 3/3 通过，覆盖 display name、username fallback、Anonymous fallback 三个场景; risk:low UAE-04 的所有作者展示点已完成；剩余风险主要集中在 UAE-05+ 的历史回填与验证任务，不在本行范围内; done_at:2026-04-23"
"UAE-05","P1","5","backend","Implement historical AUTHORED backfill and consistency audit","Implement the executable path for Phase 2 historical reconciliation so legacy `Human_Post.author_id` data can be converted into canonical `AUTHORED` edges and audited for drift. Keep the row focused on batchable backfill behavior, failure-sample visibility, and re-run safety rather than on startup schema initialization.","WHEN the Phase 2 backfill runs on historical `Human_Post` rows with non-null `author_id` and matching `UserAccount.user_id` → THEN each row gains exactly one `AUTHORED` edge; WHEN a post references an author that cannot be resolved → THEN the process records a failure sample or audit result instead of creating a placeholder user; WHEN the same backfill runs a second time → THEN it does not create duplicate edges; WHEN the consistency audit runs → THEN it reports missing `AUTHORED` edges by `post.node_id` and `author_id`; ref: backfill and audit scenarios","AUTOSERVER","Follow design D3: historical reconciliation is an explicit post-deploy task, not a startup migration; keep the backfill idempotent and observable, and choose a task entrypoint or script location that is easy to audit; never auto-create missing accounts just to satisfy edge creation.","Regression review must verify new-post writes do not depend on historical backfill having already run; old `author_id` payloads must remain valid during and after backfill; operational review must confirm the audit output is sufficient to repair drift manually and that reruns are safe.","未开始","未开始","未开始","未提交","","openspec/changes/user-authored-edge/tasks.md:28; openspec/changes/user-authored-edge/design.md:67; openspec/changes/user-authored-edge/specs/user-authored-edge/spec.md:24; docs/user-domain-modeling-plan.md:261; src/main/java/com/rhizodelta/core/domain/node/HumanPost.java:36","generated_from:openspec/changes/user-authored-edge; source:docs/user-domain-modeling-plan.md"
"UAE-06","P1","6","backend","Build Phase 2 integration verification suite","Add the automated verification baseline for Phase 2 so the new author edge, public profile API, and projection changes are guarded by repeatable tests. This row is limited to test code and apply-readiness checks, not to runbook authoring.","WHEN the Phase 2 integration suite runs → THEN it verifies new posts persist both `author_id` and `AUTHORED`; WHEN public profile API tests run → THEN normal, fallback, `UNAVAILABLE`, and unauthenticated cases are all covered; WHEN read-model and backfill regression tests run → THEN duplicate-edge prevention and old-client compatibility are exercised; WHEN apply-readiness is checked → THEN the OpenSpec change remains consistent with implemented behavior and test coverage; ref: Phase 2 automated verification tasks","AUTOSERVER","Keep tests aligned with the spec scenarios rather than with incidental implementation details; prefer existing project patterns for integration tests and keep validation deterministic where possible; ensure the suite proves both canonical-edge behavior and compatibility with `author_id`-only readers.","Regression review must confirm tests cover old-client compatibility, missing-profile fallback, and duplicate-delivery behavior; do not claim manual operational drills as automated evidence; if environment limits any part of the suite, record that limitation explicitly rather than silently skipping coverage.","未开始","未开始","未开始","未提交","","openspec/changes/user-authored-edge/tasks.md:35; openspec/changes/user-authored-edge/specs/user-authored-edge/spec.md:9; openspec/changes/user-authored-edge/specs/user-profile-schema/spec.md:9; docs/user-domain-modeling-plan.md:296; src/main/java/com/rhizodelta/infrastructure/messaging/consumer/PostConsumer.java:117","generated_from:openspec/changes/user-authored-edge; split_reason:第6章中的自动化验证与文档/runbook拆分为独立行"
"UAE-07","P2","6","docs","Document Phase 2 runbook and rollback path","Publish the Phase 2 operator documentation for backfill, consistency audit, and rollback so the new author-edge migration remains operable after code lands. This row covers runbook content and rollback instructions, not the automated tests themselves.","WHEN the Phase 2 runbook is published → THEN it documents the historical `AUTHORED` backfill script, the consistency audit query, and the rollback command set for removing `AUTHORED` edges plus `rhizodelta_authored_created_at_idx`; WHEN operators consult the runbook after deployment → THEN they can distinguish normal post-deploy backfill from startup schema initialization; WHEN rollback guidance is read → THEN it is clear that `author_id` remains intact and old code can continue to function from the projection alone; ref: Phase 2 migration and rollback documentation","MANUAL","Follow the design migration plan and rollback strategy exactly, and keep the docs framed in operational terms rather than file-specific implementation trivia; cross-reference the Phase 2 source design or the broader domain plan instead of duplicating long design prose; prefer the existing `docs/runbooks/` style used by prior user-domain changes.","Regression review must verify the runbook stays aligned if backfill or rollback commands change later; documentation must not imply startup-time historical migration when the design explicitly rejects it; rollback wording must preserve the invariant that old clients continue to work from `author_id` even if `AUTHORED` is removed.","未开始","未开始","未开始","未提交","","openspec/changes/user-authored-edge/tasks.md:35; openspec/changes/user-authored-edge/design.md:117; docs/user-domain-modeling-plan.md:293; docs/runbooks/user-profile-backfill.md:1","generated_from:openspec/changes/user-authored-edge; split_reason:第6章中的自动化验证与文档/runbook拆分为独立行"
